Driver,avg_lap,std_lap,lap_count,cluster_kmeans,cluster_hierarchical,cluster_dbscan,cluster
ALB,91.96358611825192,17.288813173534933,389,0,0,0,0
ALO,89.94554048140044,15.380255357961365,457,2,2,0,2
BOT,91.66393612334802,15.777062260162127,454,2,2,0,2
DEV,87.22996486486487,13.740797697832043,370,0,0,0,0
GAS,91.0856347826087,16.10065994050926,460,2,2,0,2
HAM,90.40778213507625,16.174061521353757,459,2,2,0,2
HUL,94.36329797979799,15.018466079104458,396,0,0,0,0
LEC,90.28015721649484,16.214283602033017,388,0,0,0,0
MAG,91.86596247240618,16.136702873135064,453,2,2,0,2
NOR,91.44316630196937,16.640901914934123,457,2,2,0,2
OCO,90.8800589569161,16.23975523427749,441,2,2,0,2
PER,89.74100656455143,15.043912565210352,457,2,2,0,2
PIA,87.85202162162162,15.207581418349733,370,0,0,0,0
RIC,114.85275,4.179448122714911,44,1,1,-1,1
RUS,91.03333665835412,15.502842605757106,401,0,0,0,0
SAI,89.16947247706422,15.26422494146389,436,2,2,0,2
SAR,93.44797704081634,16.081528360870024,392,0,0,0,0
STR,89.93355424528302,15.467400544214245,424,2,2,0,2
TSU,91.36852838427947,15.82895747800686,458,2,2,0,2
VER,89.29979605263158,15.189964794179877,456,2,2,0,2
ZHO,91.06140589569162,15.9942733384018,441,2,2,0,2
